Altitude/ft,time_pre/min,exercise_level,time_exposure/min,risk
36000,180,3,110,0.7
36000,180,3,120,0.73
36000,180,3,130,0.76
36000,180,3,140,0.78
36000,180,3,150,0.8
36000,180,3,160,0.82
36000,180,3,170,0.84
36000,180,3,180,0.85
36000,180,3,190,0.86
36000,180,3,200,0.88
36000,180,3,210,0.88
36000,180,3,220,0.89
36000,180,3,230,0.9
36000,180,3,240,0.91
36000,200,3,10,0.02
36000,200,3,20,0.08
36000,200,3,30,0.15
36000,200,3,40,0.23
36000,200,3,50,0.31
36000,200,3,60,0.39
36000,200,3,70,0.46
36000,200,3,80,0.52
36000,200,3,90,0.57
36000,200,3,100,0.62
36000,200,3,110,0.66
36000,200,3,120,0.7
36000,200,3,130,0.73
36000,200,3,140,0.76
36000,200,3,150,0.78
36000,200,3,160,0.8
36000,200,3,170,0.82
36000,200,3,180,0.83
36000,200,3,190,0.85
36000,200,3,200,0.86
36000,200,3,210,0.87
36000,200,3,220,0.88
36000,200,3,230,0.89
36000,200,3,240,0.89
36000,220,3,10,0.02
36000,220,3,20,0.07
36000,220,3,30,0.13
36000,220,3,40,0.21
36000,220,3,50,0.28
36000,220,3,60,0.35
36000,220,3,70,0.42
36000,220,3,80,0.48
36000,220,3,90,0.54
36000,220,3,100,0.59
36000,220,3,110,0.63
36000,220,3,120,0.67
36000,220,3,130,0.7
36000,220,3,140,0.73
36000,220,3,150,0.75
36000,220,3,160,0.77
36000,220,3,170,0.79
36000,220,3,180,0.81
36000,220,3,190,0.82
36000,220,3,200,0.84
36000,220,3,210,0.85
36000,220,3,220,0.86
36000,220,3,230,0.87
36000,220,3,240,0.88
36000,240,3,10,0.02
36000,240,3,20,0.06
36000,240,3,30,0.12
36000,240,3,40,0.18
36000,240,3,50,0.25
36000,240,3,60,0.32
36000,240,3,70,0.39
36000,240,3,80,0.45
36000,240,3,90,0.5
36000,240,3,100,0.55
36000,240,3,110,0.59
36000,240,3,120,0.63
36000,240,3,130,0.67
36000,240,3,140,0.7
36000,240,3,150,0.72
36000,240,3,160,0.75
36000,240,3,170,0.77
36000,240,3,180,0.79
36000,240,3,190,0.8
36000,240,3,200,0.82
36000,240,3,210,0.83
36000,240,3,220,0.84
36000,240,3,230,0.85
36000,240,3,240,0.86
38000,0,3,10,0.13
38000,0,3,20,0.33
38000,0,3,30,0.5
38000,0,3,40,0.63
38000,0,3,50,0.72
38000,0,3,60,0.78
38000,0,3,70,0.83
38000,0,3,80,0.86
38000,0,3,90,0.89
38000,0,3,100,0.9
38000,0,3,110,0.92
38000,0,3,120,0.93
38000,0,3,130,0.94
38000,0,3,140,0.95
38000,0,3,150,0.95
38000,0,3,160,0.96
38000,0,3,170,0.96
38000,0,3,180,0.97
38000,0,3,190,0.97
38000,0,3,200,0.97
38000,0,3,210,0.97
38000,0,3,220,0.98
38000,0,3,230,0.98
38000,0,3,240,0.98
38000,20,3,10,0.11
38000,20,3,20,0.29
38000,20,3,30,0.47
38000,20,3,40,0.6
38000,20,3,50,0.69
38000,20,3,60,0.76
38000,20,3,70,0.81
38000,20,3,80,0.84
38000,20,3,90,0.87
38000,20,3,100,0.89
38000,20,3,110,0.91
38000,20,3,120,0.92
38000,20,3,130,0.93
38000,20,3,140,0.94
38000,20,3,150,0.95
38000,20,3,160,0.95
38000,20,3,170,0.96
38000,20,3,180,0.96
38000,20,3,190,0.96
38000,20,3,200,0.97
38000,20,3,210,0.97
38000,20,3,220,0.97
38000,20,3,230,0.97
38000,20,3,240,0.98
38000,40,3,10,0.1
38000,40,3,20,0.26
38000,40,3,30,0.43
38000,40,3,40,0.56
38000,40,3,50,0.66
38000,40,3,60,0.73
38000,40,3,70,0.78
38000,40,3,80,0.82
38000,40,3,90,0.85
38000,40,3,100,0.87
38000,40,3,110,0.89
38000,40,3,120,0.91
38000,40,3,130,0.92
38000,40,3,140,0.93
38000,40,3,150,0.94
38000,40,3,160,0.94
38000,40,3,170,0.95
38000,40,3,180,0.95
38000,40,3,190,0.96
38000,40,3,200,0.96
38000,40,3,210,0.97
38000,40,3,220,0.97
38000,40,3,230,0.97
38000,40,3,240,0.97
38000,60,3,10,0.08
38000,60,3,20,0.24
38000,60,3,30,0.39
38000,60,3,40,0.52
38000,60,3,50,0.62
38000,60,3,60,0.7
38000,60,3,70,0.75
38000,60,3,80,0.8
38000,60,3,90,0.83
38000,60,3,100,0.86
38000,60,3,110,0.88
38000,60,3,120,0.89
38000,60,3,130,0.91
38000,60,3,140,0.92
38000,60,3,150,0.93
38000,60,3,160,0.94
38000,60,3,170,0.94
38000,60,3,180,0.95
38000,60,3,190,0.95
38000,60,3,200,0.96
38000,60,3,210,0.96
38000,60,3,220,0.96
38000,60,3,230,0.97
38000,60,3,240,0.97
38000,80,3,10,0.07
38000,80,3,20,0.21
38000,80,3,30,0.36
38000,80,3,40,0.48
38000,80,3,50,0.59
38000,80,3,60,0.66
38000,80,3,70,0.73
38000,80,3,80,0.77
38000,80,3,90,0.81
38000,80,3,100,0.84
38000,80,3,110,0.86
38000,80,3,120,0.88
38000,80,3,130,0.89
38000,80,3,140,0.91
38000,80,3,150,0.92
38000,80,3,160,0.93
38000,80,3,170,0.93
38000,80,3,180,0.94
38000,80,3,190,0.94
38000,80,3,200,0.95
38000,80,3,210,0.95
38000,80,3,220,0.96
38000,80,3,230,0.96
38000,80,3,240,0.96
38000,100,3,10,0.06
38000,100,3,20,0.19
38000,100,3,30,0.32
38000,100,3,40,0.45
38000,100,3,50,0.55
38000,100,3,60,0.63
38000,100,3,70,0.69
38000,100,3,80,0.74
38000,100,3,90,0.78
38000,100,3,100,0.82
38000,100,3,110,0.84
38000,100,3,120,0.86
38000,100,3,130,0.88
38000,100,3,140,0.89
38000,100,3,150,0.9
38000,100,3,160,0.91
38000,100,3,170,0.92
38000,100,3,180,0.93
38000,100,3,190,0.94
38000,100,3,200,0.94
38000,100,3,210,0.95
38000,100,3,220,0.95
38000,100,3,230,0.95
38000,100,3,240,0.96
38000,120,3,10,0.05
38000,120,3,20,0.16
38000,120,3,30,0.29
38000,120,3,40,0.41
38000,120,3,50,0.51
38000,120,3,60,0.59
38000,120,3,70,0.66
38000,120,3,80,0.71
38000,120,3,90,0.76
38000,120,3,100,0.79
38000,120,3,110,0.82
38000,120,3,120,0.84
38000,120,3,130,0.86
38000,120,3,140,0.88
38000,120,3,150,0.89
38000,120,3,160,0.9
38000,120,3,170,0.91
38000,120,3,180,0.92
38000,120,3,190,0.93
38000,120,3,200,0.93
38000,120,3,210,0.94
38000,120,3,220,0.94
38000,120,3,230,0.95
38000,120,3,240,0.95
38000,140,3,10,0.05
38000,140,3,20,0.14
38000,140,3,30,0.26
38000,140,3,40,0.37
38000,140,3,50,0.47
38000,140,3,60,0.56
38000,140,3,70,0.63
38000,140,3,80,0.68
38000,140,3,90,0.73
38000,140,3,100,0.77
38000,140,3,110,0.8
38000,140,3,120,0.82
38000,140,3,130,0.84
38000,140,3,140,0.86
38000,140,3,150,0.87
38000,140,3,160,0.89
38000,140,3,170,0.9
38000,140,3,180,0.91
38000,140,3,190,0.92
38000,140,3,200,0.92
38000,140,3,210,0.93
38000,140,3,220,0.93
38000,140,3,230,0.94
38000,140,3,240,0.94
38000,160,3,10,0.04
